amount,hour_of_day,day_of_week,merchant_category,country,device_type,is_foreign_transaction,distance_from_home_km,num_transactions_last_24h,avg_transaction_amount_30d,account_age_days,is_new_device,card_present,is_fraud,transaction_id
89.91,15,1,entertainment,US,pos_terminal,0,6.75,2,93.68,1743,0,0,0,TXN100000
21.36,9,4,jewelry,US,mobile_app,0,6.87,2,102.25,273,0,0,0,TXN100001
26.68,7,5,restaurant,AU,pos_terminal,1,31.72,1,70.46,2146,0,0,0,TXN100002
25.93,12,6,healthcare,US,mobile_app,0,2.15,1,100.66,2014,0,0,0,TXN100003
95.87,19,2,travel,US,atm,0,1.43,2,53.01,2020,0,1,0,TXN100004
74.39,12,2,utilities,US,web_chrome,0,23.35,2,121.53,366,0,1,0,TXN100005
104.05,18,6,online_retail,DE,web_safari,1,20.95,3,126.56,456,0,0,0,TXN100006
97.83,22,1,restaurant,US,web_safari,0,29.05,2,65.08,2249,0,1,0,TXN100007
941.66,19,2,electronics,US,atm,0,675.66,6,91.65,2995,0,1,1,TXN100008
106.08,18,2,restaurant,GB,mobile_app,1,38.41,2,21.74,384,0,1,0,TXN100009
99.38,13,2,fuel,US,web_safari,0,41.87,2,35.73,1519,0,0,0,TXN100010
116.7,15,5,online_retail,AU,atm,1,21.49,3,69.49,2608,1,0,0,TXN100011
129.28,8,0,grocery,US,mobile_app,0,54.17,0,72.49,895,0,1,0,TXN100012
33.62,16,6,grocery,US,mobile_app,0,5.54,3,93.19,1013,1,1,0,TXN100013
118.69,18,2,fuel,US,pos_terminal,0,32.16,1,130.28,1802,0,1,0,TXN100014
24.9,21,3,entertainment,US,web_chrome,0,44.42,1,72.11,312,0,0,0,TXN100015
223.57,8,0,healthcare,US,web_safari,0,16.98,2,63.81,1050,0,0,0,TXN100016
130.82,10,2,online_retail,DE,web_chrome,1,4.92,3,45.35,187,0,1,0,TXN100017
79.3,22,6,grocery,SG,web_safari,1,10.44,1,136.16,631,0,1,0,TXN100018
97.72,13,3,fuel,US,web_chrome,0,22.89,2,102.99,2877,0,1,0,TXN100019
19.34,15,5,travel,IN,mobile_app,1,1.14,1,65.54,1215,0,0,0,TXN100020
113.29,7,6,travel,FR,web_chrome,1,33.63,1,95.71,2842,0,1,0,TXN100021
92.74,20,4,online_retail,US,mobile_app,0,0.94,5,69.75,1472,1,1,0,TXN100022
71.77,9,4,grocery,US,mobile_app,0,19.41,1,25.45,400,0,1,0,TXN100023
113.25,22,2,grocery,DE,mobile_app,1,10.94,0,105.3,2061,0,0,0,TXN100024
78.83,9,4,healthcare,US,web_chrome,0,21.9,4,50.11,1760,0,0,0,TXN100025
28.48,14,1,fuel,US,web_chrome,0,7.76,5,56.98,292,0,1,0,TXN100026
182.89,17,4,utilities,IN,mobile_app,1,15.44,5,45.95,2976,0,1,0,TXN100027
129.26,22,6,healthcare,IN,web_safari,1,6.27,3,40.37,1487,0,1,0,TXN100028
169.85,9,1,restaurant,US,pos_terminal,0,42.39,4,37.36,2481,1,1,0,TXN100029
135.77,9,6,grocery,US,web_chrome,0,18.4,1,73.85,2684,0,0,0,TXN100030
109.17,11,1,jewelry,US,mobile_app,0,31.54,2,40.84,2252,0,0,0,TXN100031
58.77,21,0,utilities,IN,web_chrome,1,33.52,1,76.67,70,0,0,0,TXN100032
239.52,11,5,entertainment,GB,mobile_app,1,41.75,1,72.77,660,1,0,0,TXN100033
33.84,21,6,utilities,GB,web_chrome,1,34.78,0,98.06,1888,0,0,0,TXN100034
69.02,17,1,restaurant,US,mobile_app,0,34.29,2,105.34,230,0,1,0,TXN100035
74.82,9,1,jewelry,US,web_chrome,0,9.7,2,41.74,887,0,0,0,TXN100036
29.32,21,3,jewelry,FR,mobile_app,1,25.71,2,58.11,1382,0,0,0,TXN100037
147.78,13,2,online_retail,US,mobile_app,0,9.29,1,61.37,1271,0,0,0,TXN100038
65.11,8,4,online_retail,CA,mobile_app,1,48.68,3,105.8,772,0,0,0,TXN100039
75.88,10,0,online_retail,IN,web_chrome,1,31.35,4,62.8,196,0,0,0,TXN100040
44.99,11,5,electronics,FR,mobile_app,1,37.37,5,13.81,2493,0,1,0,TXN100041
12.31,8,0,restaurant,US,mobile_app,0,2.11,1,68.21,1533,0,1,0,TXN100042
102.66,11,3,healthcare,US,web_chrome,0,6.17,2,84.07,2679,0,1,0,TXN100043
105.02,13,3,healthcare,US,mobile_app,0,31.56,2,47.64,273,0,0,0,TXN100044
1273.34,23,0,grocery,DE,mobile_app,1,691.44,6,56.48,591,1,0,1,TXN100045
106.58,8,5,electronics,DE,mobile_app,1,19.89,2,66.55,2554,0,0,0,TXN100046
94.59,16,5,electronics,US,web_chrome,0,9.84,3,131.71,2508,0,1,0,TXN100047
32.3,13,4,online_retail,BR,mobile_app,1,11.65,1,143.71,703,1,0,0,TXN100048
21.95,9,2,restaurant,BR,mobile_app,1,18.38,0,54.06,1748,0,1,0,TXN100049
56.11,9,3,electronics,US,atm,0,20.78,1,19.04,1475,0,1,0,TXN100050
76.67,20,0,healthcare,FR,pos_terminal,1,24.71,2,92.68,1320,0,1,0,TXN100051
45.69,10,4,online_retail,US,mobile_app,0,28.04,2,72.31,72,0,1,0,TXN100052
127.72,18,1,electronics,US,web_chrome,0,19.2,2,66.12,2256,0,1,0,TXN100053
33.88,15,4,travel,BR,mobile_app,1,15.94,2,79.83,56,0,1,0,TXN100054
117.66,22,2,grocery,US,atm,0,27.35,3,106.85,2077,0,1,0,TXN100055
23.12,9,5,restaurant,AU,mobile_app,1,23.35,1,100.48,979,0,1,0,TXN100056
127.29,11,1,online_retail,US,web_chrome,0,15.34,1,74.03,1171,0,0,0,TXN100057
16.13,18,2,grocery,US,mobile_app,0,42.49,2,73.54,986,0,0,0,TXN100058
146.84,17,2,fuel,US,web_chrome,0,36.67,0,85.65,2595,0,1,0,TXN100059
58.69,14,6,restaurant,US,web_safari,0,20.24,1,71.87,302,0,0,0,TXN100060
72.46,5,3,healthcare,CA,mobile_app,1,32.24,6,57.2,171,0,1,0,TXN100061
56.92,20,6,healthcare,US,mobile_app,0,10.05,2,91.16,1608,0,1,0,TXN100062
61.97,16,4,electronics,US,mobile_app,0,18.44,2,30.52,1999,0,1,0,TXN100063
71.04,10,3,healthcare,AU,web_chrome,1,33.55,0,34.2,1864,0,0,0,TXN100064
76.74,16,0,online_retail,US,mobile_app,0,14.84,3,124.25,254,0,1,0,TXN100065
41.72,19,2,jewelry,IN,mobile_app,1,14.8,1,68.92,1383,0,1,0,TXN100066
84.92,16,3,grocery,US,pos_terminal,0,4.67,1,82.94,2913,0,1,0,TXN100067
87.96,21,3,travel,BR,web_safari,1,6.17,1,97.24,45,0,1,0,TXN100068
42.2,8,6,restaurant,US,web_chrome,0,19.05,0,102.36,1326,0,1,0,TXN100069
59.75,11,4,jewelry,US,web_chrome,0,51.5,2,91.7,224,0,1,0,TXN100070
292.75,10,0,grocery,IN,mobile_app,1,1.15,1,69.77,2186,0,0,0,TXN100071
213.25,14,6,travel,US,web_chrome,0,3.01,2,83.23,115,0,1,0,TXN100072
53.65,3,2,utilities,BR,mobile_app,1,2.41,0,59.68,2221,0,0,0,TXN100073
48.63,22,2,jewelry,GB,mobile_app,1,18.83,5,111.66,2792,0,1,0,TXN100074
120.41,20,6,online_retail,IN,web_safari,1,17.59,0,136.76,1471,0,1,0,TXN100075
119.77,7,4,restaurant,SG,mobile_app,1,9.23,0,79.96,1417,0,1,0,TXN100076
107.09,22,6,electronics,US,mobile_app,0,16.65,1,97.04,910,0,1,0,TXN100077
209.38,5,3,restaurant,US,web_safari,0,18.17,1,53.61,1892,0,1,0,TXN100078
62.98,20,0,grocery,US,web_safari,0,0.53,0,58.06,2654,0,0,0,TXN100079
83.67,12,6,entertainment,US,web_safari,0,12.61,2,100.69,2536,0,1,0,TXN100080
25.23,10,1,travel,US,mobile_app,0,48.01,3,-3.54,1354,0,0,0,TXN100081
56.28,2,4,travel,US,mobile_app,0,31.21,1,61.43,1545,0,0,0,TXN100082
88.09,12,1,utilities,US,mobile_app,0,23.4,2,71.77,2938,0,1,0,TXN100083
45.46,12,6,jewelry,US,web_chrome,0,16.39,0,109.22,924,0,1,0,TXN100084
95.08,12,6,grocery,US,pos_terminal,0,3.44,1,137.19,1610,0,0,0,TXN100085
76.27,8,4,grocery,US,web_chrome,0,29.7,2,83.12,2091,0,0,0,TXN100086
41.07,13,1,entertainment,SG,pos_terminal,1,46.13,2,90.54,2845,0,1,0,TXN100087
37.55,17,4,restaurant,IN,web_chrome,1,5.64,0,80.13,2763,0,1,0,TXN100088
135.67,11,3,online_retail,CA,mobile_app,1,21.29,2,81.02,495,0,1,0,TXN100089
15.92,16,4,travel,US,atm,0,0.69,1,81.42,1428,0,0,0,TXN100090
66.2,20,5,electronics,AU,web_safari,1,0.86,2,84.83,983,1,0,0,TXN100091
133.71,0,2,electronics,GB,web_chrome,1,9.53,2,102.14,2743,0,1,0,TXN100092
104.12,18,3,electronics,US,mobile_app,0,16.29,0,26.58,2442,0,0,0,TXN100093
99.89,14,2,fuel,US,web_chrome,0,9.04,4,128.15,85,0,1,0,TXN100094
46.05,23,2,healthcare,US,web_safari,0,10.86,3,126.23,2767,0,0,0,TXN100095
51.8,13,5,travel,SG,mobile_app,1,30.83,1,56.72,57,0,0,0,TXN100096
78.43,18,4,utilities,US,mobile_app,0,6.22,2,72.33,2484,0,1,0,TXN100097
